time, s	APT pos, mm	APL pos, mm	APR pos, mm	APB pos, mm	TH1992B_1.VOLT1	TH1992B_1.CURR1	TH1992B_1.RES1	TH1992B_1.VOLT2	TH1992B_1.CURR2	TH1992B_1.RES2
89.441	-3.000	24.000	24.000	24.000	-2.400e+01	5.377e-10	-4.463e+10	-2.400e+01	-9.609e-10	2.498e+10
90.181	-2.900	24.000	24.000	24.000	-2.400e+01	5.799e-10	-4.139e+10	-2.400e+01	-9.789e-10	2.452e+10
90.932	-2.800	24.000	24.000	24.000	-2.400e+01	5.504e-10	-4.360e+10	-2.400e+01	-9.585e-10	2.504e+10
91.681	-2.700	24.000	24.000	24.000	-2.400e+01	4.675e-10	-5.134e+10	-2.400e+01	-9.899e-10	2.424e+10
92.421	-2.600	24.000	24.000	24.000	-2.400e+01	5.428e-10	-4.422e+10	-2.400e+01	-9.689e-10	2.477e+10
93.154	-2.500	24.000	24.000	24.000	-2.400e+01	5.415e-10	-4.432e+10	-2.400e+01	-9.958e-10	2.410e+10
93.910	-2.400	24.000	24.000	24.000	-2.400e+01	5.825e-10	-4.120e+10	-2.400e+01	-9.654e-10	2.486e+10
94.651	-2.300	24.000	24.000	24.000	-2.400e+01	5.185e-10	-4.629e+10	-2.400e+01	-9.484e-10	2.531e+10
95.391	-2.200	24.000	24.000	24.000	-2.400e+01	5.390e-10	-4.453e+10	-2.400e+01	-1.031e-09	2.328e+10
96.131	-2.100	24.000	24.000	24.000	-2.400e+01	5.524e-10	-4.345e+10	-2.400e+01	-9.738e-10	2.465e+10
96.892	-2.000	24.000	24.000	24.000	-2.400e+01	5.053e-10	-4.750e+10	-2.400e+01	-9.910e-10	2.422e+10
97.631	-1.900	24.000	24.000	24.000	-2.400e+01	5.730e-10	-4.188e+10	-2.400e+01	-9.692e-10	2.476e+10
98.371	-1.800	24.000	24.000	24.000	-2.400e+01	5.889e-10	-4.075e+10	-2.400e+01	-9.502e-10	2.526e+10
99.112	-1.700	24.000	24.000	24.000	-2.400e+01	5.936e-10	-4.043e+10	-2.400e+01	-9.714e-10	2.471e+10
99.882	-1.600	24.000	24.000	24.000	-2.400e+01	5.561e-10	-4.316e+10	-2.400e+01	-9.805e-10	2.448e+10
100.631	-1.500	24.000	24.000	24.000	-2.400e+01	5.169e-10	-4.643e+10	-2.400e+01	-9.620e-10	2.495e+10
101.364	-1.400	24.000	24.000	24.000	-2.400e+01	5.572e-10	-4.307e+10	-2.400e+01	-9.636e-10	2.491e+10
102.111	-1.300	24.000	24.000	24.000	-2.400e+01	4.781e-10	-5.019e+10	-2.400e+01	-9.781e-10	2.454e+10
102.832	-1.200	24.000	24.000	24.000	-2.400e+01	5.672e-10	-4.232e+10	-2.400e+01	-9.371e-10	2.561e+10
