time, s	APT pos, mm	APL pos, mm	APR pos, mm	APB pos, mm	TH1992B_1.VOLT1	TH1992B_1.CURR1	TH1992B_1.RES1	TH1992B_1.VOLT2	TH1992B_1.CURR2	TH1992B_1.RES2
54.630	-7.700	24.000	24.000	24.000	-2.400e+01	5.506e-10	-4.359e+10	-2.400e+01	-9.499e-10	2.527e+10
55.360	-7.600	24.000	24.000	24.000	-2.400e+01	5.438e-10	-4.413e+10	-2.400e+01	-9.895e-10	2.425e+10
56.100	-7.500	24.000	24.000	24.000	-2.400e+01	5.893e-10	-4.072e+10	-2.400e+01	-1.008e-09	2.382e+10
56.859	-7.400	24.000	24.000	24.000	-2.400e+01	5.457e-10	-4.398e+10	-2.400e+01	-9.315e-10	2.576e+10
57.600	-7.300	24.000	24.000	24.000	-2.400e+01	5.342e-10	-4.493e+10	-2.400e+01	-9.888e-10	2.427e+10
58.340	-7.200	24.000	24.000	24.000	-2.400e+01	5.677e-10	-4.227e+10	-2.400e+01	-1.025e-09	2.342e+10
59.073	-7.100	24.000	24.000	24.000	-2.400e+01	5.606e-10	-4.281e+10	-2.400e+01	-9.818e-10	2.444e+10
59.818	-7.000	24.000	24.000	24.000	-2.400e+01	5.733e-10	-4.186e+10	-2.400e+01	-9.367e-10	2.562e+10
60.560	-6.900	24.000	24.000	24.000	-2.400e+01	5.296e-10	-4.532e+10	-2.400e+01	-9.216e-10	2.604e+10
61.303	-6.800	24.000	24.000	24.000	-2.400e+01	5.383e-10	-4.458e+10	-2.400e+01	-9.603e-10	2.499e+10
62.041	-6.700	24.000	24.000	24.000	-2.400e+01	5.177e-10	-4.636e+10	-2.400e+01	-9.439e-10	2.543e+10
62.780	-6.600	24.000	24.000	24.000	-2.400e+01	5.447e-10	-4.406e+10	-2.400e+01	-9.099e-10	2.638e+10
63.520	-6.500	24.000	24.000	24.000	-2.400e+01	5.533e-10	-4.337e+10	-2.400e+01	-9.721e-10	2.469e+10
64.260	-6.400	24.000	24.000	24.000	-2.400e+01	5.306e-10	-4.523e+10	-2.400e+01	-9.532e-10	2.518e+10
65.002	-6.300	24.000	24.000	24.000	-2.400e+01	5.654e-10	-4.245e+10	-2.400e+01	-9.617e-10	2.495e+10
